soc_code,element_name,importance_score,source
43-4021,Geography,0.83,knowledge
43-4021,Medicine and Dentistry,1.05,knowledge
43-4021,Medicine and Dentistry,0.09,knowledge
43-4021,Therapy and Counseling,1.23,knowledge
43-4021,Therapy and Counseling,0.45,knowledge
43-4021,Education and Training,2.39,knowledge
43-4021,Education and Training,2.53,knowledge
43-4021,English Language,3.95,knowledge
43-4021,English Language,3.78,knowledge
43-4021,Foreign Language,1.68,knowledge
43-4021,Foreign Language,1.1,knowledge
43-4021,Fine Arts,1.0,knowledge
43-4021,Fine Arts,0.0,knowledge
43-4021,History and Archeology,1.15,knowledge
43-4021,History and Archeology,0.35,knowledge
43-4021,Philosophy and Theology,1.19,knowledge
43-4021,Philosophy and Theology,0.37,knowledge
43-4021,Public Safety and Security,2.81,knowledge
43-4021,Public Safety and Security,2.46,knowledge
43-4021,Law and Government,2.76,knowledge
43-4021,Law and Government,2.83,knowledge
43-4021,Telecommunications,2.2,knowledge
43-4021,Telecommunications,1.26,knowledge
43-4021,Communications and Media,2.56,knowledge
43-4021,Communications and Media,2.45,knowledge
43-4021,Transportation,1.95,knowledge
43-4021,Transportation,0.98,knowledge
43-4031,Administration and Management,3.46,knowledge
43-4031,Administration and Management,3.49,knowledge
43-4031,Administrative,4.3,knowledge
43-4031,Administrative,5.69,knowledge
43-4031,Economics and Accounting,2.68,knowledge
43-4031,Economics and Accounting,2.58,knowledge
43-4031,Sales and Marketing,1.35,knowledge
43-4031,Sales and Marketing,0.69,knowledge
43-4031,Customer and Personal Service,4.47,knowledge
43-4031,Customer and Personal Service,5.24,knowledge
43-4031,Personnel and Human Resources,2.83,knowledge
43-4031,Personnel and Human Resources,2.94,knowledge
43-4031,Production and Processing,1.92,knowledge
43-4031,Production and Processing,1.59,knowledge
43-4031,Food Production,1.04,knowledge
43-4031,Food Production,0.04,knowledge
43-4031,Computers and Electronics,3.4,knowledge
43-4031,Computers and Electronics,3.74,knowledge
43-4031,Engineering and Technology,1.54,knowledge
43-4031,Engineering and Technology,0.72,knowledge
43-4031,Design,1.22,knowledge
43-4031,Design,0.3,knowledge
43-4031,Building and Construction,1.15,knowledge
43-4031,Building and Construction,0.29,knowledge
43-4031,Mechanical,1.2,knowledge
43-4031,Mechanical,0.3,knowledge
43-4031,Mathematics,2.89,knowledge
43-4031,Mathematics,2.9,knowledge
43-4031,Physics,1.08,knowledge
43-4031,Physics,0.08,knowledge
43-4031,Chemistry,1.08,knowledge
43-4031,Chemistry,0.09,knowledge
43-4031,Biology,1.1,knowledge
43-4031,Biology,0.14,knowledge
43-4031,Psychology,2.07,knowledge
43-4031,Psychology,1.85,knowledge
43-4031,Sociology and Anthropology,1.71,knowledge
43-4031,Sociology and Anthropology,0.93,knowledge
43-4031,Geography,1.48,knowledge
43-4031,Geography,0.94,knowledge
43-4031,Medicine and Dentistry,1.24,knowledge
43-4031,Medicine and Dentistry,0.36,knowledge
43-4031,Therapy and Counseling,1.54,knowledge
43-4031,Therapy and Counseling,0.86,knowledge
43-4031,Education and Training,2.63,knowledge
43-4031,Education and Training,2.65,knowledge
43-4031,English Language,4.05,knowledge
43-4031,English Language,4.09,knowledge
43-4031,Foreign Language,1.67,knowledge
43-4031,Foreign Language,0.72,knowledge
43-4031,Fine Arts,1.06,knowledge
43-4031,Fine Arts,0.08,knowledge
43-4031,History and Archeology,1.41,knowledge
43-4031,History and Archeology,0.71,knowledge
43-4031,Philosophy and Theology,1.29,knowledge
43-4031,Philosophy and Theology,0.48,knowledge
43-4031,Public Safety and Security,2.73,knowledge
43-4031,Public Safety and Security,2.32,knowledge
43-4031,Law and Government,4.1,knowledge
43-4031,Law and Government,4.06,knowledge
43-4031,Telecommunications,2.37,knowledge
43-4031,Telecommunications,1.45,knowledge
43-4031,Communications and Media,2.32,knowledge
43-4031,Communications and Media,2.31,knowledge
43-4031,Transportation,1.74,knowledge
43-4031,Transportation,1.15,knowledge
43-4041,Administration and Management,3.13,knowledge
43-4041,Administration and Management,3.42,knowledge
43-4041,Administrative,3.34,knowledge
43-4041,Administrative,4.44,knowledge
43-4041,Economics and Accounting,3.33,knowledge
43-4041,Economics and Accounting,3.79,knowledge
43-4041,Sales and Marketing,2.7,knowledge
43-4041,Sales and Marketing,3.26,knowledge
43-4041,Customer and Personal Service,4.06,knowledge
43-4041,Customer and Personal Service,4.83,knowledge
43-4041,Personnel and Human Resources,2.3,knowledge
43-4041,Personnel and Human Resources,2.15,knowledge
43-4041,Production and Processing,1.81,knowledge
43-4041,Production and Processing,1.6,knowledge
43-4041,Food Production,1.3,knowledge
43-4041,Food Production,0.64,knowledge
43-4041,Computers and Electronics,3.19,knowledge
43-4041,Computers and Electronics,3.37,knowledge
43-4041,Engineering and Technology,1.47,knowledge
43-4041,Engineering and Technology,0.66,knowledge
43-4041,Design,1.27,knowledge
43-4041,Design,0.42,knowledge
43-4041,Building and Construction,1.48,knowledge
43-4041,Building and Construction,0.87,knowledge
43-4041,Mechanical,1.54,knowledge
43-4041,Mechanical,0.79,knowledge
43-4041,Mathematics,3.61,knowledge
43-4041,Mathematics,3.76,knowledge
43-4041,Physics,1.08,knowledge
43-4041,Physics,0.21,knowledge
43-4041,Chemistry,1.01,knowledge
43-4041,Chemistry,0.03,knowledge
43-4041,Biology,1.0,knowledge
43-4041,Biology,0.02,knowledge
43-4041,Psychology,2.37,knowledge
43-4041,Psychology,2.91,knowledge
43-4041,Sociology and Anthropology,1.29,knowledge
43-4041,Sociology and Anthropology,0.72,knowledge
43-4041,Geography,1.73,knowledge
43-4041,Geography,0.95,knowledge
43-4041,Medicine and Dentistry,1.04,knowledge
43-4041,Medicine and Dentistry,0.07,knowledge
43-4041,Therapy and Counseling,1.21,knowledge
43-4041,Therapy and Counseling,0.48,knowledge
43-4041,Education and Training,2.36,knowledge
43-4041,Education and Training,2.78,knowledge
43-4041,English Language,3.67,knowledge
43-4041,English Language,3.97,knowledge
43-4041,Foreign Language,1.13,knowledge
43-4041,Foreign Language,0.22,knowledge
43-4041,Fine Arts,1.0,knowledge
43-4041,Fine Arts,0.01,knowledge
43-4041,History and Archeology,1.1,knowledge
43-4041,History and Archeology,0.23,knowledge
43-4041,Philosophy and Theology,1.08,knowledge
43-4041,Philosophy and Theology,0.17,knowledge
43-4041,Public Safety and Security,1.81,knowledge
43-4041,Public Safety and Security,1.13,knowledge
43-4041,Law and Government,3.37,knowledge
43-4041,Law and Government,3.52,knowledge
43-4041,Telecommunications,2.12,knowledge
43-4041,Telecommunications,1.21,knowledge
43-4041,Communications and Media,2.21,knowledge
43-4041,Communications and Media,1.99,knowledge
43-4041,Transportation,2.35,knowledge
43-4041,Transportation,1.92,knowledge
43-4051,Administration and Management,3.51,knowledge
43-4051,Administration and Management,3.4,knowledge
43-4051,Administrative,3.29,knowledge
43-4051,Administrative,3.78,knowledge
43-4051,Economics and Accounting,2.91,knowledge
43-4051,Economics and Accounting,2.38,knowledge
43-4051,Sales and Marketing,3.45,knowledge
43-4051,Sales and Marketing,3.71,knowledge
43-4051,Customer and Personal Service,4.7,knowledge
43-4051,Customer and Personal Service,5.67,knowledge
43-4051,Personnel and Human Resources,2.46,knowledge
43-4051,Personnel and Human Resources,1.67,knowledge
43-4051,Production and Processing,2.01,knowledge
43-4051,Production and Processing,1.4,knowledge
43-4051,Food Production,1.14,knowledge
43-4051,Food Production,0.21,knowledge
43-4051,Computers and Electronics,3.28,knowledge
43-4051,Computers and Electronics,3.49,knowledge
43-4051,Engineering and Technology,1.6,knowledge
43-4051,Engineering and Technology,0.79,knowledge
43-4051,Design,1.29,knowledge
43-4051,Design,0.49,knowledge
43-4051,Building and Construction,1.31,knowledge
43-4051,Building and Construction,0.45,knowledge
43-4051,Mechanical,1.34,knowledge
43-4051,Mechanical,0.4,knowledge
43-4051,Mathematics,3.34,knowledge
43-4051,Mathematics,3.38,knowledge
43-4051,Physics,1.29,knowledge
43-4051,Physics,0.43,knowledge
43-4051,Chemistry,1.3,knowledge
43-4051,Chemistry,0.71,knowledge
43-4051,Biology,1.25,knowledge
43-4051,Biology,0.53,knowledge
43-4051,Psychology,2.22,knowledge
43-4051,Psychology,2.04,knowledge
43-4051,Sociology and Anthropology,1.75,knowledge
43-4051,Sociology and Anthropology,1.53,knowledge
43-4051,Geography,1.63,knowledge
43-4051,Geography,1.22,knowledge
43-4051,Medicine and Dentistry,1.69,knowledge
43-4051,Medicine and Dentistry,0.79,knowledge
43-4051,Therapy and Counseling,1.58,knowledge
43-4051,Therapy and Counseling,0.79,knowledge
43-4051,Education and Training,2.55,knowledge
43-4051,Education and Training,1.81,knowledge
43-4051,English Language,3.92,knowledge
43-4051,English Language,3.47,knowledge
43-4051,Foreign Language,1.45,knowledge
43-4051,Foreign Language,0.66,knowledge
43-4051,Fine Arts,1.07,knowledge
43-4051,Fine Arts,0.05,knowledge
43-4051,History and Archeology,1.08,knowledge
43-4051,History and Archeology,0.14,knowledge
43-4051,Philosophy and Theology,1.44,knowledge
43-4051,Philosophy and Theology,0.73,knowledge
43-4051,Public Safety and Security,2.82,knowledge
43-4051,Public Safety and Security,1.96,knowledge
43-4051,Law and Government,1.99,knowledge
43-4051,Law and Government,1.11,knowledge
43-4051,Telecommunications,2.39,knowledge
43-4051,Telecommunications,1.33,knowledge
43-4051,Communications and Media,2.13,knowledge
43-4051,Communications and Media,1.59,knowledge
43-4051,Transportation,2.13,knowledge
43-4051,Transportation,1.43,knowledge
43-4061,Administration and Management,3.84,knowledge
43-4061,Administration and Management,3.76,knowledge
43-4061,Administrative,3.77,knowledge
43-4061,Administrative,4.72,knowledge
43-4061,Economics and Accounting,2.49,knowledge
43-4061,Economics and Accounting,1.99,knowledge
43-4061,Sales and Marketing,1.69,knowledge
43-4061,Sales and Marketing,1.45,knowledge
43-4061,Customer and Personal Service,4.91,knowledge
43-4061,Customer and Personal Service,6.29,knowledge
43-4061,Personnel and Human Resources,3.53,knowledge
43-4061,Personnel and Human Resources,3.45,knowledge
43-4061,Production and Processing,2.39,knowledge
43-4061,Production and Processing,2.01,knowledge
43-4061,Food Production,1.32,knowledge
43-4061,Food Production,0.57,knowledge
43-4061,Computers and Electronics,3.35,knowledge
43-4061,Computers and Electronics,3.56,knowledge
43-4061,Engineering and Technology,1.58,knowledge
43-4061,Engineering and Technology,0.71,knowledge
43-4061,Design,1.18,knowledge
43-4061,Design,0.34,knowledge
43-4061,Building and Construction,1.17,knowledge
43-4061,Building and Construction,0.41,knowledge
43-4061,Mechanical,1.12,knowledge
43-4061,Mechanical,0.23,knowledge
43-4061,Mathematics,3.34,knowledge
43-4061,Mathematics,3.16,knowledge
43-4061,Physics,1.09,knowledge
43-4061,Physics,0.17,knowledge
43-4061,Chemistry,1.1,knowledge
43-4061,Chemistry,0.13,knowledge
43-4061,Biology,1.04,knowledge
43-4061,Biology,0.02,knowledge
43-4061,Psychology,2.46,knowledge
43-4061,Psychology,2.62,knowledge
43-4061,Sociology and Anthropology,2.48,knowledge
43-4061,Sociology and Anthropology,2.36,knowledge
43-4061,Geography,1.35,knowledge
43-4061,Geography,0.57,knowledge
43-4061,Medicine and Dentistry,1.2,knowledge
43-4061,Medicine and Dentistry,0.35,knowledge
43-4061,Therapy and Counseling,2.1,knowledge
43-4061,Therapy and Counseling,2.29,knowledge
43-4061,Education and Training,3.44,knowledge
43-4061,Education and Training,3.77,knowledge
43-4061,English Language,4.36,knowledge
43-4061,English Language,4.14,knowledge
43-4061,Foreign Language,2.15,knowledge
43-4061,Foreign Language,1.52,knowledge
43-4061,Fine Arts,1.07,knowledge
43-4061,Fine Arts,0.07,knowledge
43-4061,History and Archeology,1.15,knowledge
43-4061,History and Archeology,0.31,knowledge
43-4061,Philosophy and Theology,1.55,knowledge
43-4061,Philosophy and Theology,0.9,knowledge
43-4061,Public Safety and Security,3.01,knowledge
43-4061,Public Safety and Security,2.44,knowledge
43-4061,Law and Government,3.1,knowledge
43-4061,Law and Government,2.68,knowledge
43-4061,Telecommunications,2.15,knowledge
43-4061,Telecommunications,1.0,knowledge
43-4061,Communications and Media,2.77,knowledge
43-4061,Communications and Media,2.58,knowledge
43-4061,Transportation,2.13,knowledge
43-4061,Transportation,1.15,knowledge
43-4071,Administration and Management,2.88,knowledge
43-4071,Administration and Management,2.22,knowledge
43-4071,Administrative,4.51,knowledge
43-4071,Administrative,5.43,knowledge
43-4071,Economics and Accounting,2.35,knowledge
43-4071,Economics and Accounting,1.69,knowledge
43-4071,Sales and Marketing,1.84,knowledge
43-4071,Sales and Marketing,1.35,knowledge
43-4071,Customer and Personal Service,4.24,knowledge
43-4071,Customer and Personal Service,5.15,knowledge
43-4071,Personnel and Human Resources,2.5,knowledge
43-4071,Personnel and Human Resources,1.95,knowledge
43-4071,Production and Processing,2.15,knowledge
43-4071,Production and Processing,1.56,knowledge
43-4071,Food Production,1.5,knowledge
43-4071,Food Production,0.6,knowledge
43-4071,Computers and Electronics,3.33,knowledge
43-4071,Computers and Electronics,3.5,knowledge
43-4071,Engineering and Technology,1.88,knowledge
43-4071,Engineering and Technology,1.36,knowledge
43-4071,Design,1.67,knowledge
43-4071,Design,1.03,knowledge
43-4071,Building and Construction,1.49,knowledge
43-4071,Building and Construction,0.56,knowledge
43-4071,Mechanical,1.76,knowledge
43-4071,Mechanical,1.16,knowledge
43-4071,Mathematics,3.21,knowledge
43-4071,Mathematics,2.81,knowledge
43-4071,Physics,1.5,knowledge
43-4071,Physics,0.58,knowledge
43-4071,Chemistry,1.5,knowledge
43-4071,Chemistry,0.61,knowledge
43-4071,Biology,1.5,knowledge
43-4071,Biology,0.89,knowledge
43-4071,Psychology,2.06,knowledge
43-4071,Psychology,1.67,knowledge
43-4071,Sociology and Anthropology,1.7,knowledge
43-4071,Sociology and Anthropology,1.44,knowledge
43-4071,Geography,2.06,knowledge
43-4071,Geography,1.74,knowledge
43-4071,Medicine and Dentistry,1.6,knowledge
43-4071,Medicine and Dentistry,1.07,knowledge
43-4071,Therapy and Counseling,1.59,knowledge
43-4071,Therapy and Counseling,1.18,knowledge
43-4071,Education and Training,2.66,knowledge
43-4071,Education and Training,3.38,knowledge
43-4071,English Language,4.32,knowledge
43-4071,English Language,4.03,knowledge
43-4071,Foreign Language,2.2,knowledge
43-4071,Foreign Language,1.74,knowledge
43-4071,Fine Arts,1.46,knowledge
43-4071,Fine Arts,0.61,knowledge
43-4071,History and Archeology,1.6,knowledge
43-4071,History and Archeology,1.13,knowledge
43-4071,Philosophy and Theology,1.59,knowledge
43-4071,Philosophy and Theology,1.37,knowledge
43-4071,Public Safety and Security,3.12,knowledge
43-4071,Public Safety and Security,2.77,knowledge
43-4071,Law and Government,3.36,knowledge
43-4071,Law and Government,3.2,knowledge
43-4071,Telecommunications,3.28,knowledge
43-4071,Telecommunications,2.43,knowledge
43-4071,Communications and Media,2.51,knowledge
43-4071,Communications and Media,2.39,knowledge
43-4071,Transportation,2.2,knowledge
43-4071,Transportation,1.58,knowledge
43-4081,Administration and Management,3.18,knowledge
43-4081,Administration and Management,2.81,knowledge
43-4081,Administrative,3.64,knowledge
43-4081,Administrative,4.23,knowledge
43-4081,Economics and Accounting,2.82,knowledge
43-4081,Economics and Accounting,2.71,knowledge
43-4081,Sales and Marketing,2.87,knowledge
43-4081,Sales and Marketing,2.68,knowledge
43-4081,Customer and Personal Service,4.35,knowledge
43-4081,Customer and Personal Service,4.38,knowledge
43-4081,Personnel and Human Resources,2.55,knowledge
43-4081,Personnel and Human Resources,2.03,knowledge
43-4081,Production and Processing,2.06,knowledge
43-4081,Production and Processing,1.76,knowledge
43-4081,Food Production,1.88,knowledge
43-4081,Food Production,1.66,knowledge
43-4081,Computers and Electronics,3.35,knowledge
43-4081,Computers and Electronics,3.31,knowledge
43-4081,Engineering and Technology,2.02,knowledge
43-4081,Engineering and Technology,1.39,knowledge
43-4081,Design,1.41,knowledge
43-4081,Design,0.84,knowledge
43-4081,Building and Construction,1.47,knowledge
43-4081,Building and Construction,0.9,knowledge
43-4081,Mechanical,2.03,knowledge
43-4081,Mechanical,1.62,knowledge
43-4081,Mathematics,3.05,knowledge
43-4081,Mathematics,2.98,knowledge
43-4081,Physics,1.6,knowledge
43-4081,Physics,0.56,knowledge
43-4081,Chemistry,1.9,knowledge
43-4081,Chemistry,1.72,knowledge
43-4081,Biology,1.27,knowledge
43-4081,Biology,0.55,knowledge
43-4081,Psychology,2.16,knowledge
43-4081,Psychology,1.88,knowledge
43-4081,Sociology and Anthropology,1.79,knowledge
43-4081,Sociology and Anthropology,1.34,knowledge
43-4081,Geography,1.89,knowledge
43-4081,Geography,1.61,knowledge
43-4081,Medicine and Dentistry,1.72,knowledge
43-4081,Medicine and Dentistry,1.48,knowledge
43-4081,Therapy and Counseling,1.69,knowledge
43-4081,Therapy and Counseling,1.25,knowledge
43-4081,Education and Training,2.53,knowledge
43-4081,Education and Training,2.38,knowledge
43-4081,English Language,4.19,knowledge
43-4081,English Language,4.07,knowledge
43-4081,Foreign Language,2.03,knowledge
43-4081,Foreign Language,1.73,knowledge
43-4081,Fine Arts,1.24,knowledge
43-4081,Fine Arts,0.45,knowledge
43-4081,History and Archeology,1.37,knowledge
43-4081,History and Archeology,0.75,knowledge
43-4081,Philosophy and Theology,1.61,knowledge
43-4081,Philosophy and Theology,1.35,knowledge
43-4081,Public Safety and Security,3.67,knowledge
43-4081,Public Safety and Security,3.14,knowledge
43-4081,Law and Government,2.31,knowledge
43-4081,Law and Government,1.6,knowledge
43-4081,Telecommunications,2.59,knowledge
43-4081,Telecommunications,1.11,knowledge
43-4081,Communications and Media,2.46,knowledge
43-4081,Communications and Media,2.05,knowledge
43-4081,Transportation,2.15,knowledge
43-4081,Transportation,1.74,knowledge
43-4111,Administration and Management,3.08,knowledge
43-4111,Administration and Management,3.23,knowledge
43-4111,Administrative,3.69,knowledge
43-4111,Administrative,5.1,knowledge
43-4111,Economics and Accounting,2.42,knowledge
43-4111,Economics and Accounting,1.46,knowledge
43-4111,Sales and Marketing,1.59,knowledge
43-4111,Sales and Marketing,1.56,knowledge
43-4111,Customer and Personal Service,4.48,knowledge
43-4111,Customer and Personal Service,5.69,knowledge
43-4111,Personnel and Human Resources,2.54,knowledge
43-4111,Personnel and Human Resources,2.44,knowledge
43-4111,Production and Processing,1.43,knowledge
43-4111,Production and Processing,0.9,knowledge
43-4111,Food Production,1.0,knowledge
43-4111,Food Production,0.0,knowledge
43-4111,Computers and Electronics,3.47,knowledge
43-4111,Computers and Electronics,4.53,knowledge
43-4111,Engineering and Technology,1.17,knowledge
43-4111,Engineering and Technology,0.5,knowledge
43-4111,Design,1.16,knowledge
43-4111,Design,0.49,knowledge
43-4111,Building and Construction,1.0,knowledge
43-4111,Building and Construction,0.0,knowledge
43-4111,Mechanical,1.09,knowledge
43-4111,Mechanical,0.27,knowledge
43-4111,Mathematics,3.26,knowledge
43-4111,Mathematics,3.6,knowledge
43-4111,Physics,1.0,knowledge
43-4111,Physics,0.0,knowledge
43-4111,Chemistry,1.15,knowledge
43-4111,Chemistry,0.23,knowledge
43-4111,Biology,1.0,knowledge
43-4111,Biology,0.0,knowledge
43-4111,Psychology,2.21,knowledge
43-4111,Psychology,3.79,knowledge
43-4111,Sociology and Anthropology,1.92,knowledge
43-4111,Sociology and Anthropology,1.61,knowledge
43-4111,Geography,1.37,knowledge
43-4111,Geography,0.98,knowledge
43-4111,Medicine and Dentistry,1.86,knowledge
43-4111,Medicine and Dentistry,1.77,knowledge
43-4111,Therapy and Counseling,2.54,knowledge
43-4111,Therapy and Counseling,2.41,knowledge
43-4111,Education and Training,2.45,knowledge
43-4111,Education and Training,2.48,knowledge
43-4111,English Language,3.72,knowledge
43-4111,English Language,3.6,knowledge
43-4111,Foreign Language,1.87,knowledge
43-4111,Foreign Language,1.78,knowledge
43-4111,Fine Arts,1.33,knowledge
43-4111,Fine Arts,0.33,knowledge
43-4111,History and Archeology,1.0,knowledge
43-4111,History and Archeology,0.0,knowledge
43-4111,Philosophy and Theology,1.6,knowledge
43-4111,Philosophy and Theology,1.08,knowledge
43-4111,Public Safety and Security,2.5,knowledge
43-4111,Public Safety and Security,2.17,knowledge
43-4111,Law and Government,2.47,knowledge
43-4111,Law and Government,2.17,knowledge
43-4111,Telecommunications,2.29,knowledge
43-4111,Telecommunications,1.33,knowledge
43-4111,Communications and Media,2.69,knowledge
43-4111,Communications and Media,2.39,knowledge
43-4111,Transportation,1.5,knowledge
43-4111,Transportation,0.51,knowledge
43-4121,Administration and Management,2.34,knowledge
43-4121,Administration and Management,1.73,knowledge
43-4121,Administrative,3.7,knowledge
43-4121,Administrative,3.56,knowledge
43-4121,Economics and Accounting,1.63,knowledge
43-4121,Economics and Accounting,0.97,knowledge
43-4121,Sales and Marketing,2.19,knowledge
43-4121,Sales and Marketing,1.8,knowledge
43-4121,Customer and Personal Service,3.74,knowledge
43-4121,Customer and Personal Service,3.67,knowledge
43-4121,Personnel and Human Resources,1.68,knowledge
43-4121,Personnel and Human Resources,1.29,knowledge
43-4121,Production and Processing,1.73,knowledge
43-4121,Production and Processing,1.23,knowledge
43-4121,Food Production,1.0,knowledge
43-4121,Food Production,0.0,knowledge
43-4121,Computers and Electronics,2.97,knowledge
43-4121,Computers and Electronics,3.34,knowledge
43-4121,Engineering and Technology,1.25,knowledge
43-4121,Engineering and Technology,0.41,knowledge
43-4121,Design,1.37,knowledge
43-4121,Design,0.82,knowledge
43-4121,Building and Construction,1.09,knowledge
43-4121,Building and Construction,0.2,knowledge
43-4121,Mechanical,1.32,knowledge
43-4121,Mechanical,0.72,knowledge
43-4121,Mathematics,2.31,knowledge
43-4121,Mathematics,2.37,knowledge
43-4121,Physics,1.16,knowledge
43-4121,Physics,0.21,knowledge
43-4121,Chemistry,1.31,knowledge
43-4121,Chemistry,0.53,knowledge
43-4121,Biology,1.06,knowledge
43-4121,Biology,0.07,knowledge
43-4121,Psychology,2.99,knowledge
43-4121,Psychology,2.72,knowledge
43-4121,Sociology and Anthropology,2.36,knowledge
43-4121,Sociology and Anthropology,2.53,knowledge
43-4121,Geography,2.16,knowledge
43-4121,Geography,2.66,knowledge
43-4121,Medicine and Dentistry,1.68,knowledge
43-4121,Medicine and Dentistry,0.81,knowledge
43-4121,Therapy and Counseling,1.65,knowledge
43-4121,Therapy and Counseling,1.39,knowledge
43-4121,Education and Training,3.03,knowledge
43-4121,Education and Training,3.12,knowledge
43-4121,English Language,3.57,knowledge
43-4121,English Language,3.19,knowledge
43-4121,Foreign Language,1.81,knowledge
43-4121,Foreign Language,1.01,knowledge
43-4121,Fine Arts,1.48,knowledge
43-4121,Fine Arts,0.82,knowledge
43-4121,History and Archeology,2.37,knowledge
43-4121,History and Archeology,2.35,knowledge
43-4121,Philosophy and Theology,2.05,knowledge
43-4121,Philosophy and Theology,2.94,knowledge
43-4121,Public Safety and Security,2.92,knowledge
43-4121,Public Safety and Security,2.62,knowledge
43-4121,Law and Government,1.74,knowledge
43-4121,Law and Government,1.65,knowledge
43-4121,Telecommunications,2.07,knowledge
43-4121,Telecommunications,1.04,knowledge
43-4121,Communications and Media,2.32,knowledge
43-4121,Communications and Media,2.48,knowledge
43-4121,Transportation,1.47,knowledge
43-4121,Transportation,1.05,knowledge
43-4131,Administration and Management,2.88,knowledge
43-4131,Administration and Management,3.58,knowledge
43-4131,Administrative,3.71,knowledge
43-4131,Administrative,4.63,knowledge
43-4131,Economics and Accounting,2.75,knowledge
43-4131,Economics and Accounting,3.41,knowledge
43-4131,Sales and Marketing,2.8,knowledge
43-4131,Sales and Marketing,3.32,knowledge
43-4131,Customer and Personal Service,4.39,knowledge
43-4131,Customer and Personal Service,4.37,knowledge
43-4131,Personnel and Human Resources,2.17,knowledge
43-4131,Personnel and Human Resources,2.32,knowledge
43-4131,Production and Processing,2.26,knowledge
43-4131,Production and Processing,1.95,knowledge
43-4131,Food Production,1.0,knowledge
43-4131,Food Production,0.0,knowledge
43-4131,Computers and Electronics,3.42,knowledge
43-4131,Computers and Electronics,3.61,knowledge
43-4131,Engineering and Technology,1.53,knowledge
43-4131,Engineering and Technology,1.06,knowledge
43-4131,Design,1.26,knowledge
43-4131,Design,0.39,knowledge
43-4131,Building and Construction,1.27,knowledge
43-4131,Building and Construction,0.28,knowledge
43-4131,Mechanical,1.08,knowledge
43-4131,Mechanical,0.15,knowledge
43-4131,Mathematics,3.37,knowledge
43-4131,Mathematics,3.67,knowledge
43-4131,Physics,1.0,knowledge
43-4131,Physics,0.0,knowledge
43-4131,Chemistry,1.0,knowledge
43-4131,Chemistry,0.01,knowledge
43-4131,Biology,1.0,knowledge
43-4131,Biology,0.0,knowledge
43-4131,Psychology,1.43,knowledge
43-4131,Psychology,0.7,knowledge
43-4131,Sociology and Anthropology,1.06,knowledge
43-4131,Sociology and Anthropology,0.12,knowledge
43-4131,Geography,1.8,knowledge
43-4131,Geography,0.69,knowledge
43-4131,Medicine and Dentistry,1.0,knowledge
43-4131,Medicine and Dentistry,0.0,knowledge
43-4131,Therapy and Counseling,1.0,knowledge
43-4131,Therapy and Counseling,0.0,knowledge
43-4131,Education and Training,2.85,knowledge
43-4131,Education and Training,3.27,knowledge
43-4131,English Language,4.2,knowledge
43-4131,English Language,4.4,knowledge
43-4131,Foreign Language,1.26,knowledge
43-4131,Foreign Language,0.28,knowledge
43-4131,Fine Arts,1.0,knowledge
43-4131,Fine Arts,0.0,knowledge
43-4131,History and Archeology,1.0,knowledge
43-4131,History and Archeology,0.0,knowledge
43-4131,Philosophy and Theology,1.07,knowledge
43-4131,Philosophy and Theology,0.07,knowledge
43-4131,Public Safety and Security,1.72,knowledge
43-4131,Public Safety and Security,1.27,knowledge
43-4131,Law and Government,3.41,knowledge
43-4131,Law and Government,3.69,knowledge
43-4131,Telecommunications,2.18,knowledge
43-4131,Telecommunications,0.69,knowledge
43-4131,Communications and Media,2.19,knowledge
43-4131,Communications and Media,2.1,knowledge
43-4131,Transportation,1.14,knowledge
43-4131,Transportation,0.14,knowledge
43-4141,Administration and Management,2.96,knowledge
43-4141,Administration and Management,2.96,knowledge
43-4141,Administrative,4.12,knowledge
43-4141,Administrative,4.62,knowledge
43-4141,Economics and Accounting,3.34,knowledge
43-4141,Economics and Accounting,3.17,knowledge
43-4141,Sales and Marketing,4.4,knowledge
43-4141,Sales and Marketing,3.97,knowledge
43-4141,Customer and Personal Service,4.78,knowledge
43-4141,Customer and Personal Service,5.41,knowledge
43-4141,Personnel and Human Resources,2.02,knowledge
43-4141,Personnel and Human Resources,1.6,knowledge
43-4141,Production and Processing,2.06,knowledge
43-4141,Production and Processing,1.8,knowledge
43-4141,Food Production,1.0,knowledge
43-4141,Food Production,0.0,knowledge
43-4141,Computers and Electronics,3.53,knowledge
43-4141,Computers and Electronics,4.04,knowledge
43-4141,Engineering and Technology,1.31,knowledge
43-4141,Engineering and Technology,0.3,knowledge
43-4141,Design,1.06,knowledge
43-4141,Design,0.09,knowledge
43-4141,Building and Construction,1.0,knowledge
43-4141,Building and Construction,0.0,knowledge
43-4141,Mechanical,1.18,knowledge
43-4141,Mechanical,0.55,knowledge
43-4141,Mathematics,3.47,knowledge
43-4141,Mathematics,4.05,knowledge
43-4141,Physics,1.06,knowledge
43-4141,Physics,0.12,knowledge
43-4141,Chemistry,1.03,knowledge
43-4141,Chemistry,0.05,knowledge
43-4141,Biology,1.0,knowledge
43-4141,Biology,0.0,knowledge
43-4141,Psychology,2.13,knowledge
43-4141,Psychology,1.62,knowledge
43-4141,Sociology and Anthropology,1.54,knowledge
43-4141,Sociology and Anthropology,1.02,knowledge
43-4141,Geography,1.13,knowledge
43-4141,Geography,0.26,knowledge
43-4141,Medicine and Dentistry,1.0,knowledge
43-4141,Medicine and Dentistry,0.0,knowledge
